Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Chad	TCD	47.4555985191058	48.8365124630827	49.0809502923325	48.9875077874349	48.8420216784016	48.6558263942477	48.5672900916794	48.4166642745664	48.2183494819786	47.9839815153441	47.7203373940835	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Channel Islands	CHI	16.1250879724744	17.1780131114473	15.9606685578471	15.7290893284345	15.494946820248	15.2773165061441	15.1624098847896	15.0375613626221	14.9206231728528	14.8112228926386	14.7087212569948	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Chile	CHL	29.298446215194	26.55855120901	23.1599966493955	22.7109313141823	22.2762898324696	21.8587805335606	21.4940726880897	21.1384553999879	20.7949802436106	20.4643992531068	20.1469333230667	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	China	CHN	28.842023033952	25.0651326426715	18.7431660567178	18.1693110254228	17.723052123319	17.4149053260143	17.2004313821464	17.1272899342475	17.1543019300216	17.2048256929075	17.231600460595	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Colombia	COL	36.3721578732782	31.5326401553868	27.9450696250046	27.3962410298417	26.8715955486971	26.3919254848976	25.9173176071273	25.4928145971574	25.0985929874265	24.7015043064344	24.2867732875426	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Comoros	COM	46.5226523808606	44.0215009786451	41.8120307235558	41.5904985467694	41.3753859014879	41.1627391064771	41.0060728631846	40.8401155301972	40.664922169438	40.4776159721347	40.2737439661929	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Congo, Dem. Rep.	ZAR	45.6665216358153	46.5933620963946	46.7033782555742	46.6457317297898	46.5643023457228	46.4685085143914	46.445273496808	46.3878032458136	46.2960530253934	46.1646622468867	45.9929355958691	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Congo, Rep.	COG	43.6820203254434	41.6578623464229	42.041653378332	42.0807034910252	42.1054190229489	42.1022912005131	42.2884616995836	42.4365426808157	42.5445812721564	42.610481509056	42.6307211822532	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Costa Rica	CRI	35.132335527782	30.7432523659708	26.175309791931	25.6534250094706	25.1284406143047	24.579007685567	24.1497258877158	23.6620107482615	23.1578139962898	22.6983066693627	22.3086618758905	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Cote d'Ivoire	CIV	44.7354324284359	43.4525947169709	43.9978015257204	43.9128284305075	43.7950513258659	43.6520708353246	43.4418087754267	43.2156145763935	42.9750042663912	42.7249685620059	42.4743176194619	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Croatia	HRV	19.7891957371847	17.3218845505795	15.3950068784062	15.4826340060463	15.5388683583199	15.4819787208164	15.5131491260144	15.3811451557786	15.1580347592425	14.9738489557793	14.890655580703	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Cuba	CUB	23.1707049709121	21.8013262285227	18.6147996777396	18.2682492372394	17.9480894878681	17.6377656683026	17.3368204550332	17.0643654016427	16.8083974440495	16.557295205223	16.3053329004223	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Curacao	CUW	27.241365204467	24.8983732144344	20.5682966591179	20.2177038112471	19.9665291723956	19.8570509129095	19.3847299219612	19.1699591793944	19.10903152219	19.0655033608752	18.9761009649943	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Cyprus	CYP	25.4903725618338	22.3999694684651	19.1335227272727	18.6829277351185	18.2226090018579	17.7687474234043	17.5086240556525	17.2332846012098	16.9732983431028	16.7466441527732	16.5510169055179	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Czech Republic	CZE	21.5484446905233	16.4385399604989	14.4628418776385	14.3158519959254	14.2438992958141	14.2541790568743	14.3846417096664	14.521248181986	14.6740628112164	14.8482271941461	15.0418953056505	..
