"W ID","Colony","Treatment","Days after start of experiment","No. foraging bouts per day","Mean foraging duration"
"A0 01 03 C0 00 20 46 DE","WB02","D",10,1,1899-12-31 00:27:51
"A0 01 03 C0 00 20 46 DE","WB02","D",11,1,1899-12-31 00:33:29
"A0 01 03 C0 00 20 46 DE","WB02","D",22,1,1899-12-31 01:07:19
"A0 01 03 C0 00 20 46 DE","WB02","D",17,2,1899-12-31 01:02:03
"A0 01 03 C0 00 20 46 DE","WB02","D",16,3,1899-12-31 00:29:37
"A0 01 03 C0 00 20 46 DE","WB02","D",21,4,1899-12-31 00:39:58
"A0 01 03 C0 00 20 46 DE","WB02","D",23,4,1899-12-31 00:28:36
"A0 01 03 C0 00 A0 18 2E","WB02","D",21,1,1899-12-31 00:06:16
"A0 01 03 C0 00 A0 18 2E","WB02","D",23,1,1899-12-31 00:07:11
"A0 01 03 C0 00 A0 18 2E","WB02","D",25,2,1899-12-31 00:50:16
"A0 01 03 C0 00 A0 18 2E","WB02","D",22,3,1899-12-31 01:18:20
"A0 01 03 C0 00 A0 18 2E","WB02","D",24,3,1899-12-31 00:51:12
"A0 01 03 C0 00 A0 18 2E","WB02","D",26,4,1899-12-31 01:25:54
"A0 01 03 C0 00 A0 20 7F","WB02","D",21,1,1899-12-31 02:18:27
"A0 01 03 C0 00 A0 20 7F","WB02","D",26,1,1899-12-31 02:15:07
"A0 01 03 C0 00 A0 20 7F","WB02","D",22,4,1899-12-31 00:51:09
"A0 01 03 C0 00 A0 20 7F","WB02","D",23,4,1899-12-31 01:00:18
"A0 01 03 C0 00 A0 20 7F","WB02","D",24,4,1899-12-31 00:33:34
"A0 01 03 C0 00 A0 30 70","WB02","D",27,1,1899-12-31 06:46:13
"A0 01 03 C0 00 A0 30 70","WB02","D",21,2,1899-12-31 01:53:54
"A0 01 03 C0 00 A0 30 70","WB02","D",24,3,1899-12-31 01:28:42
"A0 01 03 C0 00 A0 30 70","WB02","D",22,4,1899-12-31 01:05:00
"A0 01 03 C0 00 A0 30 70","WB02","D",23,7,1899-12-31 00:41:59
"A0 01 03 C0 00 A0 30 70","WB02","D",26,9,1899-12-31 00:18:00
"A0 01 03 C0 00 A0 30 70","WB02","D",25,11,1899-12-31 00:11:35
"A0 01 03 C0 00 A0 40 40","WB02","D",23,1,1899-12-31 02:13:33
"A0 01 03 C0 00 A0 40 40","WB02","D",21,2,1899-12-31 00:57:09
"A0 01 03 C0 00 A0 40 40","WB02","D",22,3,1899-12-31 01:09:40
"A0 01 03 C0 00 A0 40 40","WB02","D",25,3,1899-12-31 01:12:40
"A0 01 03 C0 00 A0 40 40","WB02","D",24,4,1899-12-31 01:05:43
"A0 01 03 C0 00 A0 40 40","WB02","D",26,4,1899-12-31 00:51:56
"A0 01 03 C0 00 A0 48 8D","WB02","D",21,2,1899-12-31 01:18:45
"A0 01 03 C0 00 A0 48 8D","WB02","D",22,2,1899-12-31 01:11:33
"A0 01 03 C0 00 A0 48 8D","WB02","D",24,2,1899-12-31 01:31:52
"A0 01 03 C0 00 A0 48 8D","WB02","D",23,3,1899-12-31 01:44:41
"A0 01 03 C0 00 A0 48 8D","WB02","D",25,4,1899-12-31 01:26:24
"A0 01 03 C0 00 A0 48 8D","WB02","D",26,4,1899-12-31 00:48:58
"A0 01 03 C0 00 A0 48 9B","WB02","D",18,1,1899-12-31 03:17:47
"A0 01 03 C0 00 A0 48 9B","WB02","D",25,2,1899-12-31 02:02:20
"A0 01 03 C0 00 A0 48 9B","WB02","D",21,4,1899-12-31 01:05:49
"A0 01 03 C0 00 A0 48 9B","WB02","D",22,4,1899-12-31 00:41:51
"A0 01 03 C0 00 A0 48 9B","WB02","D",26,4,1899-12-31 01:35:32
"A0 01 03 C0 00 A0 48 9B","WB02","D",23,5,1899-12-31 00:43:58
"A0 01 03 C0 00 A0 48 9B","WB02","D",24,8,1899-12-31 00:36:17
"A0 01 03 C0 00 A0 48 AB","WB02","D",15,1,1899-12-31 00:10:30
"A0 01 03 C0 00 A0 48 AB","WB02","D",16,1,1899-12-31 00:05:37
"A0 01 03 C0 00 A0 48 AB","WB02","D",18,1,1899-12-31 01:10:44
"A0 01 03 C0 00 A0 48 AB","WB02","D",21,1,1899-12-31 01:36:29
"A0 01 03 C0 00 A0 48 AB","WB02","D",26,1,1899-12-31 00:05:13
"A0 01 03 C0 00 A0 48 AB","WB02","D",23,3,1899-12-31 02:28:14
"A0 01 03 C0 00 A0 48 AB","WB02","D",22,4,1899-12-31 01:22:02
"A0 01 03 C0 00 A0 68 27","WB02","D",14,2,1899-12-31 00:53:06
"A0 01 03 C0 00 A0 68 27","WB02","D",11,3,1899-12-31 01:16:45
"A0 01 03 C0 00 A0 68 27","WB02","D",12,3,1899-12-31 01:14:53
"A0 01 03 C0 00 A0 68 27","WB02","D",16,3,1899-12-31 01:08:20
"A0 01 03 C0 00 A0 68 27","WB02","D",15,4,1899-12-31 00:51:18
"A0 01 03 C0 00 A0 68 4B","WB02","D",7,1,1899-12-31 00:07:57
"A0 01 03 C0 00 A0 68 4B","WB02","D",8,1,1899-12-31 00:31:52
"A0 01 03 C0 00 A0 68 4B","WB02","D",22,3,1899-12-31 01:16:16
"A0 01 03 C0 00 A0 68 4B","WB02","D",24,3,1899-12-31 00:52:47
"A0 01 03 C0 00 A0 68 4B","WB02","D",25,3,1899-12-31 01:22:26
"A0 01 03 C0 00 A0 68 4B","WB02","D",10,4,1899-12-31 00:53:23
"A0 01 03 C0 00 A0 68 4B","WB02","D",26,4,1899-12-31 01:25:20
"A0 01 03 C0 00 A0 68 4B","WB02","D",9,5,1899-12-31 00:33:24
"A0 01 03 C0 00 A0 68 4B","WB02","D",21,5,1899-12-31 00:41:42
"A0 01 03 C0 00 A0 68 4B","WB02","D",14,6,1899-12-31 00:29:24
"A0 01 03 C0 00 A0 68 4B","WB02","D",15,6,1899-12-31 00:39:33
"A0 01 03 C0 00 A0 68 4B","WB02","D",16,6,1899-12-31 00:32:29
"A0 01 03 C0 00 A0 68 4B","WB02","D",23,6,1899-12-31 00:39:17
"A0 01 03 C0 00 A0 68 4B","WB02","D",11,7,1899-12-31 00:26:26
"A0 01 03 C0 00 A0 68 4B","WB02","D",12,10,1899-12-31 00:26:02
"A0 01 03 C0 00 A0 68 4B","WB02","D",17,11,1899-12-31 00:21:37
"A0 01 03 C0 00 A0 68 4F","WB02","D",12,1,1899-12-31 00:17:27
"A0 01 03 C0 00 A0 68 4F","WB02","D",24,1,1899-12-31 02:39:28
"A0 01 03 C0 00 A0 68 4F","WB02","D",17,2,1899-12-31 00:28:50
"A0 01 03 C0 00 A0 68 4F","WB02","D",25,2,1899-12-31 01:51:40
"A0 01 03 C0 00 A0 68 4F","WB02","D",21,3,1899-12-31 01:42:20
"A0 01 03 C0 00 A0 68 4F","WB02","D",14,4,1899-12-31 00:30:10
"A0 01 03 C0 00 A0 68 4F","WB02","D",15,4,1899-12-31 00:41:48
"A0 01 03 C0 00 A0 68 4F","WB02","D",16,4,1899-12-31 00:36:18
"A0 01 03 C0 00 A0 68 4F","WB02","D",23,5,1899-12-31 01:05:32
"A0 01 03 C0 00 A0 68 57","WB02","D",15,1,1899-12-31 02:06:46
"A0 01 03 C0 00 A0 68 57","WB02","D",16,1,1899-12-31 00:11:51
"A0 01 03 C0 00 A0 68 57","WB02","D",17,1,1899-12-31 01:17:14
"A0 01 03 C0 00 A0 68 57","WB02","D",23,1,1899-12-31 00:16:28
"A0 01 03 C0 00 A0 68 57","WB02","D",24,1,1899-12-31 00:17:28
"A0 01 03 C0 00 A0 68 57","WB02","D",20,2,1899-12-31 00:14:32
"A0 01 03 C0 00 A0 68 57","WB02","D",21,2,1899-12-31 04:05:54
"A0 01 03 C0 00 A0 68 57","WB02","D",22,2,1899-12-31 00:15:43
"A0 01 03 C0 00 A0 68 57","WB02","D",25,2,1899-12-31 00:17:04
"A0 01 03 C0 00 A0 68 57","WB02","D",27,2,1899-12-31 04:07:22
"A0 01 03 C0 00 A0 68 57","WB02","D",14,4,1899-12-31 00:55:29
"A0 01 03 C0 00 A0 68 77","WB02","D",13,1,1899-12-31 10:58:48
"A0 01 03 C0 00 A0 68 77","WB02","D",15,1,1899-12-31 02:01:41
"A0 01 03 C0 00 A0 68 77","WB02","D",20,1,1899-12-31 00:21:32
"A0 01 03 C0 00 A0 68 77","WB02","D",27,1,1899-12-31 03:58:14
"A0 01 03 C0 00 A0 68 77","WB02","D",28,1,1899-12-31 00:27:05
"A0 01 03 C0 00 A0 68 77","WB02","D",19,2,1899-12-31 00:10:13
"A0 01 03 C0 00 A0 68 77","WB02","D",24,2,1899-12-31 00:24:24
"A0 01 03 C0 00 A0 68 77","WB02","D",26,2,1899-12-31 00:25:17
"A0 01 03 C0 00 A0 68 77","WB02","D",16,3,1899-12-31 00:39:25
"A0 01 03 C0 00 A0 68 77","WB02","D",17,4,1899-12-31 00:27:12
"A0 01 03 C0 00 A0 68 77","WB02","D",22,4,1899-12-31 00:23:38
"A0 01 03 C0 00 A0 68 77","WB02","D",21,5,1899-12-31 01:11:09
"A0 01 03 C0 00 A0 68 77","WB02","D",25,5,1899-12-31 00:22:40
"A0 01 03 C0 00 A0 68 77","WB02","D",23,6,1899-12-31 00:15:10
"A0 01 03 C0 00 A0 68 7B","WB02","D",17,1,1899-12-31 00:46:45
"A0 01 03 C0 00 A0 68 7B","WB02","D",18,1,1899-12-31 00:47:47
"A0 01 03 C0 00 A0 68 7B","WB02","D",19,1,1899-12-31 01:42:42
"A0 01 03 C0 00 A0 68 7B","WB02","D",26,2,1899-12-31 00:25:48
"A0 01 03 C0 00 A0 68 7B","WB02","D",16,3,1899-12-31 00:58:24
"A0 01 03 C0 00 A0 68 7B","WB02","D",15,4,1899-12-31 00:35:27
"A0 01 03 C0 00 A0 68 7B","WB02","D",24,4,1899-12-31 00:22:43
"A0 01 03 C0 00 A0 68 7B","WB02","D",20,5,1899-12-31 01:54:47
"A0 01 03 C0 00 A0 68 7B","WB02","D",23,5,1899-12-31 00:24:48
"A0 01 03 C0 00 A0 68 7B","WB02","D",25,6,1899-12-31 00:16:15
"A0 01 03 C0 00 A0 68 7B","WB02","D",22,8,1899-12-31 00:28:36
"A0 01 03 C0 00 A0 B0 44","WB02","D",23,4,1899-12-31 00:31:31
"A0 01 03 C0 00 A0 B0 44","WB02","D",24,4,1899-12-31 00:35:09
"A0 01 03 C0 00 A0 B0 44","WB02","D",22,5,1899-12-31 00:22:55
"A0 01 03 C0 00 A0 B0 44","WB02","D",25,5,1899-12-31 00:53:36
"A0 01 03 C0 00 A0 B0 44","WB02","D",26,7,1899-12-31 00:40:25
"A0 01 03 C0 00 A0 B0 55","WB02","D",22,1,1899-12-31 08:00:43
"A0 01 03 C0 00 A0 B0 55","WB02","D",24,1,1899-12-31 01:35:21
"A0 01 03 C0 00 A0 B0 55","WB02","D",23,4,1899-12-31 01:00:00
"A0 01 03 C0 00 A0 C8 DA","WB02","D",16,2,1899-12-31 00:08:03
"A0 01 03 C0 00 A0 C8 DA","WB02","D",21,2,1899-12-31 01:19:03
"A0 01 03 C0 00 A0 C8 DA","WB02","D",22,3,1899-12-31 01:18:37
"A0 01 03 C0 00 A0 C8 DA","WB02","D",23,3,1899-12-31 00:49:48
"A0 01 03 C0 00 A0 C8 DA","WB02","D",24,3,1899-12-31 01:07:14
"A0 01 03 C0 00 A0 C8 DA","WB02","D",25,3,1899-12-31 01:58:44
"A0 01 03 C0 00 A0 C8 DA","WB02","D",26,4,1899-12-31 00:52:02
"A0 01 03 C0 00 A0 C8 F3","WB02","D",17,1,1899-12-31 00:11:26
"A0 01 03 C0 00 A0 C8 F3","WB02","D",26,1,1899-12-31 04:31:30
"A0 01 03 C0 00 A0 C8 F3","WB02","D",22,2,1899-12-31 00:08:50
"A0 01 03 C0 00 A0 E8 05","WB02","D",14,1,1899-12-31 00:10:09
"A0 01 03 C0 00 A0 E8 05","WB02","D",15,3,1899-12-31 00:35:07
"A0 01 03 C0 00 A0 E8 05","WB02","D",17,3,1899-12-31 00:47:31
"A0 01 03 C0 00 A0 E8 05","WB02","D",21,3,1899-12-31 01:43:33
"A0 01 03 C0 00 A0 E8 05","WB02","D",23,4,1899-12-31 01:17:08
"A0 01 03 C0 00 A0 E8 05","WB02","D",24,4,1899-12-31 00:57:23
"A0 01 03 C0 00 A0 E8 05","WB02","D",26,4,1899-12-31 01:19:53
"A0 01 03 C0 00 A0 E8 05","WB02","D",16,5,1899-12-31 00:40:39
"A0 01 03 C0 00 A0 E8 05","WB02","D",25,5,1899-12-31 01:08:01
"A0 01 03 C0 00 A0 E8 05","WB02","D",22,6,1899-12-31 00:57:28
"A0 01 03 C0 00 A0 E8 06","WB02","D",11,1,1899-12-31 00:20:10
"A0 01 03 C0 00 A0 E8 06","WB02","D",22,1,1899-12-31 01:26:07
"A0 01 03 C0 00 A0 E8 06","WB02","D",17,2,1899-12-31 00:54:00
"A0 01 03 C0 00 A0 E8 06","WB02","D",14,3,1899-12-31 00:23:35
"A0 01 03 C0 00 A0 E8 06","WB02","D",23,3,1899-12-31 01:34:45
"A0 01 03 C0 00 A0 E8 06","WB02","D",24,3,1899-12-31 01:01:40
"A0 01 03 C0 00 A0 E8 06","WB02","D",21,4,1899-12-31 01:14:21
"A0 01 03 C0 00 A0 E8 06","WB02","D",15,5,1899-12-31 00:36:00
"A0 01 03 C0 00 A0 E8 06","WB02","D",16,7,1899-12-31 00:25:22
"A0 01 03 C0 00 A0 E8 23","WB02","D",15,2,1899-12-31 01:21:54
"A0 01 03 C0 00 A0 E8 23","WB02","D",16,2,1899-12-31 00:50:56
"A0 01 03 C0 00 A0 E8 23","WB02","D",21,2,1899-12-31 00:51:51
"A0 01 03 C0 00 A0 E8 23","WB02","D",23,3,1899-12-31 01:04:07
"A0 01 03 C0 00 A0 E8 23","WB02","D",25,3,1899-12-31 00:49:40
"A0 01 03 C0 00 A0 E8 23","WB02","D",17,4,1899-12-31 00:38:11
"A0 01 03 C0 00 A0 E8 23","WB02","D",22,6,1899-12-31 00:41:11
"A0 01 03 C0 00 A0 E8 23","WB02","D",26,6,1899-12-31 00:33:46
"A0 01 03 C0 00 A0 E8 23","WB02","D",24,7,1899-12-31 00:47:49
"A0 01 03 C0 00 A0 E8 26","WB02","D",10,1,1899-12-31 00:47:35
"A0 01 03 C0 00 A0 E8 26","WB02","D",12,1,1899-12-31 00:18:42
"A0 01 03 C0 00 A0 E8 26","WB02","D",21,1,1899-12-31 00:08:35
"A0 01 03 C0 00 A0 E8 26","WB02","D",17,2,1899-12-31 00:51:08
"A0 01 03 C0 00 A0 E8 26","WB02","D",20,2,1899-12-31 01:50:52
"A0 01 03 C0 00 A0 E8 26","WB02","D",22,2,1899-12-31 00:08:51
"A0 01 03 C0 00 A0 E8 26","WB02","D",23,2,1899-12-31 00:37:25
"A0 01 03 C0 00 A0 E8 26","WB02","D",24,2,1899-12-31 00:09:58
"A0 01 03 C0 00 A0 E8 26","WB02","D",25,2,1899-12-31 00:17:10
"A0 01 03 C0 00 A0 E8 26","WB02","D",11,3,1899-12-31 00:35:06
"A0 01 03 C0 00 A0 E8 26","WB02","D",14,4,1899-12-31 00:27:52
"A0 01 03 C0 00 A0 E8 26","WB02","D",26,5,1899-12-31 00:13:31
"A0 01 03 C0 00 A0 E8 26","WB02","D",15,7,1899-12-31 00:22:37
"A0 01 03 C0 00 A0 E8 26","WB02","D",16,7,1899-12-31 00:23:33
"A0 01 03 C0 00 A0 E8 2B","WB02","D",18,1,1899-12-31 00:20:39
"A0 01 03 C0 00 A0 E8 2B","WB02","D",20,1,1899-12-31 05:13:42
"A0 01 03 C0 00 A0 E8 2B","WB02","D",21,1,1899-12-31 00:38:36
"A0 01 03 C0 00 A0 E8 2B","WB02","D",23,1,1899-12-31 00:23:19
"A0 01 03 C0 00 A0 E8 2B","WB02","D",16,2,1899-12-31 01:08:03
"A0 01 03 C0 00 A0 E8 2B","WB02","D",24,2,1899-12-31 00:10:01
"A0 01 03 C0 00 A0 E8 2B","WB02","D",22,5,1899-12-31 00:31:26
"A0 01 03 C0 00 A0 E8 45","WB02","D",15,1,1899-12-31 02:52:03
"A0 01 03 C0 00 A0 E8 45","WB02","D",16,1,1899-12-31 00:42:16
"A0 01 03 C0 00 A0 E8 45","WB02","D",13,2,1899-12-31 01:12:33
"A0 01 03 C0 00 A0 E8 4A","WB02","D",10,1,1899-12-31 00:15:48
"A0 01 03 C0 00 A0 E8 4A","WB02","D",11,1,1899-12-31 00:26:19
"A0 01 03 C0 00 A0 E8 4A","WB02","D",22,1,1899-12-31 02:41:05
"A0 01 03 C0 00 A0 E8 4A","WB02","D",9,2,1899-12-31 00:14:37
"A0 01 03 C0 00 A0 E8 4A","WB02","D",14,2,1899-12-31 00:20:25
"A0 01 03 C0 00 A0 E8 4A","WB02","D",17,2,1899-12-31 00:43:24
"A0 01 03 C0 00 A0 E8 4A","WB02","D",24,2,1899-12-31 01:41:58
"A0 01 03 C0 00 A0 E8 4A","WB02","D",16,3,1899-12-31 01:21:47
"A0 01 03 C0 00 A0 E8 4A","WB02","D",21,4,1899-12-31 01:05:18
"A0 01 03 C0 00 A0 E8 4A","WB02","D",23,4,1899-12-31 01:00:43
"A0 01 03 C0 00 A0 E8 4A","WB02","D",15,5,1899-12-31 00:34:43
"A0 01 03 C0 00 A0 E8 6A","WB02","D",21,1,1899-12-31 00:06:10
"A0 01 03 C0 00 A0 E8 6A","WB02","D",23,1,1899-12-31 00:07:00
"A0 01 03 C0 00 A0 E8 6A","WB02","D",24,1,1899-12-31 01:14:19
"A0 01 03 C0 00 A0 E8 7A","WB02","D",14,1,1899-12-31 00:20:54
"A0 01 03 C0 00 A0 E8 7A","WB02","D",21,2,1899-12-31 01:29:20
"A0 01 03 C0 00 A0 E8 7A","WB02","D",15,3,1899-12-31 00:41:25
"A0 01 03 C0 00 A0 E8 7A","WB02","D",17,3,1899-12-31 00:13:55
"A0 01 03 C0 00 A0 E8 7A","WB02","D",22,3,1899-12-31 01:32:37
"A0 01 03 C0 00 A0 E8 7A","WB02","D",16,5,1899-12-31 00:40:05
"A0 01 03 C0 00 A0 E8 7A","WB02","D",23,5,1899-12-31 01:14:04
"A0 01 03 C0 00 A0 E8 7A","WB02","D",25,5,1899-12-31 01:09:46
"A0 01 03 C0 00 A0 E8 7A","WB02","D",24,7,1899-12-31 00:43:49
"A0 01 03 C0 00 A0 E8 7A","WB02","D",26,10,1899-12-31 00:45:34
"A0 01 03 C0 00 C0 73 40","WB02","D",7,1,1899-12-31 00:05:00
"A0 01 03 C0 00 C0 73 40","WB02","D",8,1,1899-12-31 00:11:04
"A0 01 03 C0 00 C0 73 40","WB02","D",17,1,1899-12-31 00:33:58
"A0 01 03 C0 00 C0 73 40","WB02","D",24,1,1899-12-31 04:04:15
"A0 01 03 C0 00 C0 73 40","WB02","D",27,1,1899-12-31 01:13:36
"A0 01 03 C0 00 C0 73 40","WB02","D",21,2,1899-12-31 00:26:53
"A0 01 03 C0 00 C0 73 40","WB02","D",25,2,1899-12-31 00:38:11
"A0 01 03 C0 00 C0 73 40","WB02","D",20,3,1899-12-31 00:56:52
"A0 01 03 C0 00 C0 73 40","WB02","D",23,3,1899-12-31 00:23:50
"A0 01 03 C0 00 C0 73 40","WB02","D",26,3,1899-12-31 00:12:15
"A0 01 03 C0 00 C0 73 40","WB02","D",22,4,1899-12-31 00:37:49
"A0 01 03 C0 00 C0 73 40","WB02","D",19,9,1899-12-31 00:45:13
"A0 01 03 C0 00 C0 73 60","WB02","D",15,1,1899-12-31 00:11:15
"A0 01 03 C0 00 C0 73 60","WB02","D",16,1,1899-12-31 00:16:32
"A0 01 03 C0 00 C0 73 60","WB02","D",18,1,1899-12-31 00:16:13
"A0 01 03 C0 00 C0 73 60","WB02","D",21,1,1899-12-31 00:10:57
"A0 01 03 C0 00 C0 73 60","WB02","D",9,2,1899-12-31 00:15:51
"A0 01 03 C0 00 C0 73 60","WB02","D",7,4,1899-12-31 00:08:15
"A0 01 03 C0 00 C0 73 9A","WB02","D",7,1,1899-12-31 00:05:17
"A0 01 03 C0 00 C0 73 9A","WB02","D",9,1,1899-12-31 00:06:39
"A0 01 03 C0 00 C0 73 9A","WB02","D",11,1,1899-12-31 00:12:39
"A0 01 03 C0 00 C0 73 9A","WB02","D",16,1,1899-12-31 00:33:55
"A0 01 03 C0 00 C0 73 9A","WB02","D",24,1,1899-12-31 01:26:24
"A0 01 03 C0 00 C0 73 9A","WB02","D",10,2,1899-12-31 00:06:14
"A0 01 03 C0 00 C0 73 9A","WB02","D",19,2,1899-12-31 00:51:51
"A0 01 03 C0 00 C0 73 9A","WB02","D",21,3,1899-12-31 01:10:48
"A0 01 03 C0 00 C0 73 9A","WB02","D",23,3,1899-12-31 00:58:49
"A0 01 03 C0 00 C0 73 9A","WB02","D",22,4,1899-12-31 00:57:48
"A0 01 03 C0 00 C0 73 9A","WB02","D",25,4,1899-12-31 01:05:34
"A0 01 03 C0 00 C0 73 9A","WB02","D",15,5,1899-12-31 00:22:02
"A0 01 03 C0 00 C0 73 9A","WB02","D",17,5,1899-12-31 00:19:16
"A0 01 03 C0 00 C0 73 9A","WB02","D",18,5,1899-12-31 00:49:35
"A0 01 03 C0 00 C0 F3 4F","WB02","D",1,1,1899-12-31 00:13:01
"A0 01 03 C0 00 C0 F3 4F","WB02","D",9,1,1899-12-31 00:32:19
"A0 01 03 C0 00 C0 F3 4F","WB02","D",2,2,1899-12-31 00:08:18
"A0 01 03 C0 00 C0 F3 4F","WB02","D",3,2,1899-12-31 00:07:22
"A0 01 03 C0 00 C0 F3 4F","WB02","D",15,2,1899-12-31 00:44:00
"A0 01 03 C0 00 C0 F3 4F","WB02","D",5,3,1899-12-31 00:35:01
"A0 01 03 C0 00 C0 F3 4F","WB02","D",7,3,1899-12-31 00:35:48
"A0 01 03 C0 00 C0 F3 4F","WB02","D",10,3,1899-12-31 00:45:58
"A0 01 03 C0 00 C0 F3 4F","WB02","D",8,4,1899-12-31 00:37:43
"A0 01 03 C0 00 C0 F3 4F","WB02","D",11,7,1899-12-31 00:25:03
"A0 01 03 C0 00 C0 F3 5F","WB02","D",0,2,1899-12-31 00:21:51
"A0 01 03 C0 00 C0 F3 5F","WB02","D",1,2,1899-12-31 00:21:58
"A0 01 03 C0 00 C0 F3 5F","WB02","D",3,2,1899-12-31 00:39:00
"A0 01 03 C0 00 C0 F3 5F","WB02","D",2,3,1899-12-31 00:37:24
"A0 01 03 C0 00 C0 F3 5F","WB02","D",4,3,1899-12-31 00:24:24
"A0 01 03 C0 00 C0 F3 5F","WB02","D",8,3,1899-12-31 00:53:31
"A0 01 03 C0 00 C0 F3 5F","WB02","D",7,4,1899-12-31 00:42:26
"A0 01 03 C0 00 C0 F3 5F","WB02","D",5,5,1899-12-31 00:31:36
"A0 01 03 C0 00 20 0D EA","WB02_2","D",19,1,1899-12-31 00:08:57
"A0 01 03 C0 00 20 0D EA","WB02_2","D",23,1,1899-12-31 00:05:01
"A0 01 03 C0 00 20 0D EA","WB02_2","D",26,1,1899-12-31 00:28:12
"A0 01 03 C0 00 20 0D EA","WB02_2","D",27,1,1899-12-31 01:52:28
"A0 01 03 C0 00 20 0D EA","WB02_2","D",20,2,1899-12-31 00:09:23
"A0 01 03 C0 00 20 1D 7A","WB02_2","D",17,1,1899-12-31 00:19:13
"A0 01 03 C0 00 20 1D 7A","WB02_2","D",19,1,1899-12-31 00:09:51
"A0 01 03 C0 00 20 1D 7A","WB02_2","D",22,1,1899-12-31 00:40:14
"A0 01 03 C0 00 20 1D 7A","WB02_2","D",25,1,1899-12-31 03:14:20
"A0 01 03 C0 00 20 1D 7A","WB02_2","D",27,1,1899-12-31 00:17:35
"A0 01 03 C0 00 20 1D 7A","WB02_2","D",18,2,1899-12-31 00:19:50
"A0 01 03 C0 00 20 1D 7A","WB02_2","D",20,2,1899-12-31 00:13:43
"A0 01 03 C0 00 20 ED 13","WB02_2","D",17,1,1899-12-31 01:35:41
"A0 01 03 C0 00 20 ED 13","WB02_2","D",18,1,1899-12-31 00:23:31
"A0 01 03 C0 00 20 ED 13","WB02_2","D",24,1,1899-12-31 00:24:13
"A0 01 03 C0 00 20 ED 13","WB02_2","D",19,2,1899-12-31 00:59:03
"A0 01 03 C0 00 20 ED 13","WB02_2","D",25,2,1899-12-31 00:37:07
"A0 01 03 C0 00 20 ED 13","WB02_2","D",26,2,1899-12-31 00:33:20
"A0 01 03 C0 00 20 ED 13","WB02_2","D",22,3,1899-12-31 00:35:36
"A0 01 03 C0 00 20 ED 13","WB02_2","D",23,3,1899-12-31 00:23:47
"A0 01 03 C0 00 20 ED 13","WB02_2","D",20,4,1899-12-31 00:40:40
"A0 01 03 C0 00 20 ED 13","WB02_2","D",27,5,1899-12-31 00:39:34
"A0 01 03 C0 00 20 ED 92","WB02_2","D",18,1,1899-12-31 00:18:45
"A0 01 03 C0 00 20 ED 92","WB02_2","D",24,1,1899-12-31 00:11:49
"A0 01 03 C0 00 20 ED 92","WB02_2","D",25,1,1899-12-31 00:09:22
"A0 01 03 C0 00 20 ED 92","WB02_2","D",26,1,1899-12-31 00:05:47
"A0 01 03 C0 00 20 ED 92","WB02_2","D",27,1,1899-12-31 00:11:52
"A0 01 03 C0 00 20 ED 92","WB02_2","D",20,2,1899-12-31 00:14:12
"A0 01 03 C0 00 20 46 F0","WB06","D",9,2,1899-12-31 00:15:31
"A0 01 03 C0 00 20 46 F0","WB06","D",10,3,1899-12-31 01:41:09
"A0 01 03 C0 00 20 46 F8","WB06","D",4,2,1899-12-31 00:35:08
"A0 01 03 C0 00 20 46 F8","WB06","D",7,2,1899-12-31 00:34:46
"A0 01 03 C0 00 20 46 F8","WB06","D",0,4,1899-12-31 00:49:50
"A0 01 03 C0 00 20 46 F8","WB06","D",2,4,1899-12-31 00:56:38
"A0 01 03 C0 00 20 46 F8","WB06","D",3,5,1899-12-31 00:17:42
"A0 01 03 C0 00 A0 30 3F","WB06","D",21,1,1899-12-31 04:16:21
"A0 01 03 C0 00 A0 30 3F","WB06","D",16,3,1899-12-31 00:24:55
"A0 01 03 C0 00 A0 30 3F","WB06","D",18,3,1899-12-31 00:22:45
"A0 01 03 C0 00 A0 30 3F","WB06","D",17,4,1899-12-31 00:36:30
"A0 01 03 C0 00 A0 30 3F","WB06","D",19,4,1899-12-31 00:25:47
"A0 01 03 C0 00 A0 68 37","WB06","D",14,4,1899-12-31 00:22:36
"A0 01 03 C0 00 A0 68 37","WB06","D",15,4,1899-12-31 00:46:21
"A0 01 03 C0 00 A0 68 37","WB06","D",16,4,1899-12-31 00:26:02
"A0 01 03 C0 00 A0 68 37","WB06","D",17,4,1899-12-31 00:48:51
"A0 01 03 C0 00 A0 D0 11","WB06","D",23,1,1899-12-31 00:41:25
"A0 01 03 C0 00 A0 D0 11","WB06","D",24,1,1899-12-31 02:40:44
"A0 01 03 C0 00 A0 D0 11","WB06","D",25,1,1899-12-31 00:21:39
"A0 01 03 C0 00 A0 D0 11","WB06","D",26,3,1899-12-31 00:48:19
"A0 01 03 C0 00 A0 E8 1A","WB06","D",17,1,1899-12-31 00:40:44
"A0 01 03 C0 00 A0 E8 1A","WB06","D",14,2,1899-12-31 00:28:30
"A0 01 03 C0 00 A0 E8 1A","WB06","D",15,2,1899-12-31 00:58:53
"A0 01 03 C0 00 A0 E8 1A","WB06","D",20,2,1899-12-31 01:05:42
"A0 01 03 C0 00 A0 E8 1A","WB06","D",27,2,1899-12-31 04:35:18
"A0 01 03 C0 00 A0 E8 1A","WB06","D",16,3,1899-12-31 00:46:33
"A0 01 03 C0 00 A0 E8 1A","WB06","D",19,3,1899-12-31 00:41:01
